,college,State,City,Is Open Admission,Has Data,Average GPA,GPA Standard Deviation,Acceptance Rate,SAT Reading 25th,SAT Math 25th,SAT Composite 25th,SAT Reading 75th,SAT Math 75th,SAT Composite 75th,Average SAT Score,1st Rank SAT,2nd Rank SAT,3rd Rank SAT,4th Rank SAT,5th Rank SAT,ACT Reading SAT25th,ACT Math 25th,ACT Composite 25th,ACT Reading 75th,ACT Math 75th,ACT Composite 75th,Average ACT Score,1st Rank ACT,2nd Rank ACT,3rd Rank ACT,4th Rank ACT,5th Rank ACT,Average Class Rank,Class Rank Standard Deviation,1st Rank SAT Level,2nd Rank SAT Level,3rd Rank SAT Level,4th Rank SAT Level,1st Rank ACT Level,2nd Rank ACT Level,3rd Rank ACT Level,4th Rank ACT Level,Test Scores,High School GPA,High School Class Rank,Completion of College Preparatory Program,Recommendations,Demonstration of Competencies,AP Credit,Dual Credit,Credit for Life Experiences
204,California State University-Chico,California,Chico,False,True,3.314,0.544,72.3,500,490,990,600,590,1190,1090,81,72,60,47,47,16,17,18,23,24,24,21,81,72,60,47,47,81.056,0.449,1190,1090,990,890,24,21,18,15,Required,Required,Neither required nor recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,Yes
205,California State University-Fresno,California,Fresno,False,True,3.324,0.587,57.9,470,470,940,570,560,1130,1040,70,58,45,32,32,15,16,16,22,22,22,19,70,58,45,32,32,80.964,0.427,1130,1035,940,845,22,19,16,13,Required,Required,Neither required nor recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
206,California State University-Fullerton,California,Fullerton,False,True,3.481,0.482,52.7,510,520,1030,600,600,1200,1120,66,53,40,28,28,17,18,19,24,25,24,21,68,53,42,33,33,76.357,0.544,1200,1115,1030,945,24,21,19,17,Required,Required,Neither required nor recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
207,California State University-Long Beach,California,Long Beach,False,True,3.507,0.431,39.3,520,520,1040,620,630,1250,1150,52,39,27,18,18,19,19,20,26,26,26,23,52,39,27,18,18,62.98662412900985,12.518300589324506,1250,1145,1040,935,26,23,20,17,Required,Required<,Neither required nor recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
208,California State University-Los Angeles,California,Los Angeles,False,True,3.198,0.55,47.8,450,440,890,540,540,1080,990,61,48,35,24,24,14,16,15,20,19,20,17,64,48,38,28,28,63.29,0.403,1080,985,890,795,20,17,15,13,Required,Required,Neither required nor recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
209,California State University-Monterey Bay,California,Seaside,False,True,3.258,0.431,75.3,485,470,955,600,570,1170,1060,84,75,64,51,51,15,16,17,23,22,23,20,84,75,64,51,51,69.725,0.552,1170,1062,955,848,23,20,17,14,Required,Required,Neither required nor recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
210,California State University-Northridge,California,Northridge,False,True,3.181,0.5640000000000001,59.3,460,450,910,570,560,1130,1020,71,59,46,33,33,15,16,16,22,22,22,19,71,59,46,33,33,62.69525022668002,13.133032037372415,1130,1020,910,800,22,19,16,13,Required,Required,Neither required nor recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
211,California State University-Sacramento,California,Sacramento,False,True,3.268,0.5760000000000001,82.3,470,470,940,570,570,1140,1040,89,82,73,61,61,15,16,16,22,22,22,19,89,82,73,61,61,62.667,0.45,1140,1040,940,840,22,19,16,13,Required,Required,Neither required nor recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,Yes
212,California State University-San Bernardino,California,San Bernardino,False,True,3.215,0.498,68.6,460,450,910,550,540,1090,1000,79,69,57,44,44,14,16,15,19,19,19,17,79,69,57,44,44,66.96329640092914,11.81873082680063,1090,1000,910,820,19,17,15,13,Required,Required,Neither required nor recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
213,California State University-San Marcos,California,San Marcos,False,True,3.212,0.466,61.7,480,470,950,570,570,1140,1050,74,62,49,36,36,15,16,17,22,22,22,19,76,62,52,41,41,63.605794045076486,13.844540294295124,1140,1045,950,855,22,19,17,15,Required,Required,Neither required nor recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
214,California University of Pennsylvania,Pennsylvania,California,False,True,3.172,0.497,97.1,460,450,910,560,540,1100,1010,98,97,95,92,92,15,16,17,23,22,23,20,98,97,95,92,92,59.176,0.509,1100,1005,910,815,23,20,17,14,Required,Required,Considered but not required,Neither required nor recommended,Considered but not required,Considered but not required,Yes,Yes,Yes
215,Cambridge College,Massachusetts,Cambridge,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59.176,0.509,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
216,Camden County College,New Jersey,Blackwood,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59.176,0.509,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
217,Cameron University,Oklahoma,Lawton,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59.176,0.509,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
218,Campbell University,North Carolina,Buies Creek,False,True,3.341,0.607,77.7,520,510,1030,620,610,1230,1130,86,78,68,55,55,18,18,20,25,25,25,22,87,78,70,60,60,63.073545258399115,13.438883446540279,1230,1130,1030,930,25,22,20,18,Required,Required,Recommended,Recommended,Recommended,Neither required nor recommended,Yes,Yes,Yes
219,Canada College,California,Redwood City,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.073545258399115,13.438883446540279,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
220,Canisius College,New York,Buffalo,False,True,3.48,0.5,82.7,510,520,1030,630,640,1270,1150,89,83,74,63,63,N/A,N/A,20,N/A,N/A,28,24,89,83,74,63,63,72.415,0.481,1270,1150,1030,910,28,24,20,16,Required,Required,Recommended,Required,Recommended,Neither required nor recommended,Yes,Yes,No
221,Cankdeska Cikana Community College,North Dakota,Fort Totten,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.415,0.481,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
222,Cape Cod Community College,Massachusetts,West Barnstable,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.415,0.481,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
223,Cape Fear Community College,North Carolina,Wilmington,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.415,0.481,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
224,Capital Community College,Connecticut,Hartford,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.415,0.481,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
225,Capital University,Ohio,Columbus,False,True,3.449,0.536,72.1,510,520,1030,600,610,1210,1120,81,72,60,47,47,21,19,20,29,26,26,23,81,72,60,47,47,68.971,0.464,1210,1120,1030,940,26,23,20,17,Required,Required,Neither required nor recommended,Recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,Yes
226,Cardinal Stritch University,Wisconsin,Milwaukee,False,True,3.203,0.46900000000000003,81.5,480,500,980,550,580,1130,1060,88,81,71,60,60,17,17,18,23,22,22,20,88,81,71,60,60,64.055,0.481,1130,1055,980,905,22,20,18,16,Required,Required,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,Yes
227,Carl Albert State College,Oklahoma,Poteau,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.055,0.481,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
228,Carl Sandburg College,Illinois,Galesburg,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.055,0.481,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
229,Carleton College,Minnesota,Northfield,False,True,3.9050000000000002,0.61,19.1,670,690,1360,750,790,1540,1450,29,19,12,8,8,N/A,N/A,31,N/A,N/A,34,32,32,19,14,10,10,92.875,0.514,1540,1450,1360,1270,34,32,31,30,Required,Recommended,Recommended,Recommended,Required,Neither required nor recommended,Yes,Yes,No
230,Carlow University,Pennsylvania,Pittsburgh,False,True,3.246,0.538,91.8,500,480,980,590,563,1153,1070,95,92,87,80,80,17,19,19,24,23,24,21,96,92,88,83,83,63.706078150480224,10.469764896896562,1153,1066,980,894,24,21,19,17,Required,Required,Recommended,Recommended,Considered but not required,Neither required nor recommended,Yes,Yes,Yes
231,Carnegie Mellon University,Pennsylvania,Pittsburgh,False,True,3.6630000000000003,0.442,15.4,700,760,1460,760,800,1560,1510,23,15,9,6,6,33,32,33,35,36,35,34,23,15,9,6,6,91.196,0.516,1560,1510,1460,1410,35,34,33,32,Required,Required,Considered but not required,Required,Required,Required,Yes,Yes,No
232,Carolina Christian College,North Carolina,Winston Salem,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91.196,0.516,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
233,Carroll College,Montana,Helena,False,True,3.54,0.58,68.9,540,530,1070,650,640,1290,1180,79,69,57,44,44,21,20,21,26,26,26,23,81,69,59,49,49,75.039,0.48,1290,1180,1070,960,26,23,21,19,Considered but not required,Required,Recommended,Recommended,Considered but not required,Neither required nor recommended,Yes,Yes,No
234,Carroll Community College,Maryland,Westminster,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.039,0.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
235,Carroll University,Wisconsin,Waukesha,False,True,3.442,0.40800000000000003,67.4,520,510,1030,620,620,1240,1140,78,67,54,41,41,20,19,21,26,26,26,23,79,67,57,46,46,72.935,0.5750000000000001,1240,1135,1030,925,26,23,21,19,Required,Required,Recommended,Recommended,Considered but not required,Neither required nor recommended,Yes,Yes,Yes
236,Carteret Community College,North Carolina,Morehead City,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.935,0.5750000000000001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
237,Carthage College,Wisconsin,Kenosha,False,True,3.318,0.619,68,500,500,1000,610,610,1220,1110,78,68,56,42,42,20,18,21,28,27,27,24,78,68,56,42,42,63.246932948015484,13.457047722122216,1220,1110,1000,890,27,24,21,18,Considered but not required,Required,Recommended,Recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
238,Case Western Reserve University,Ohio,Cleveland,False,True,3.849,0.622,27.4,640,700,1340,720,790,1510,1430,39,27,18,11,11,31,29,30,35,34,34,32,39,27,18,11,11,90.689,0.512,1510,1425,1340,1255,34,32,30,28,Required,Required,Required,Required,Required,Neither required nor recommended,Yes,No,No
239,Casper College,Wyoming,Casper,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90.689,0.512,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
240,Catawba College,North Carolina,Salisbury,False,True,2.364,0.628,49.5,470,460,930,560,560,1120,1030,63,50,37,26,26,15,17,17,22,23,23,20,63,50,37,26,26,52.51,0.495,1120,1025,930,835,23,20,17,14,Required,Required,Neither required nor recommended,Recommended,Recommended,Recommended,Yes,Yes,No
241,Catawba Valley Community College,North Carolina,Hickory,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52.51,0.495,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
242,Cayuga County Community College,New York,Auburn,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52.51,0.495,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
243,Cecil College,Maryland,North East,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52.51,0.495,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
244,Cedar Crest College,Pennsylvania,Allentown,False,True,3.346,0.435,60.9,493,470,963,600,580,1180,1070,73,61,48,35,35,16,16,18,24,24,24,21,73,61,48,35,35,46.154,0.435,1180,1071,963,855,24,21,18,15,Required,Required,Required,Required,Required,Neither required nor recommended,Yes,Yes,Yes
245,Cedar Valley College,Texas,Lancaster,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.154,0.435,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
246,Cedarville University,Ohio,Cedarville,False,True,3.5789999999999997,0.557,78.8,580,540,1120,680,670,1350,1240,86,79,69,57,57,23,22,23,33,28,29,26,86,79,69,57,57,76.78,0.527,1350,1235,1120,1005,29,26,23,20,Required,Required,Recommended,Recommended,Required,Neither required nor recommended,Yes,Yes,No
247,Centenary College of Louisiana,Louisiana,Shreveport,False,True,3.572,0.5690000000000001,59.8,530,530,1060,630,620,1250,1160,72,60,47,34,34,22,19,22,30,26,28,25,72,60,47,34,34,77.264,0.517,1250,1155,1060,965,28,25,22,19,Required,Required,Recommended,Recommended,Recommended,Neither required nor recommended,Yes,Yes,No
248,Central Alabama Community College,Alabama,Alexander City,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77.264,0.517,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
249,Central Arizona College,Arizona,Coolidge,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77.264,0.517,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
250,Central Baptist College,Arkansas,Conway,False,True,3.147,0.607,40,418,440,858,520,543,1063,960,53,40,28,19,19,18,17,17,22,22,22,19,56,40,30,22,22,64.4627017010651,11.49985835974979,1063,960,858,756,22,19,17,15,Required,Required,Required,Recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,Yes
251,Central Carolina Community College,North Carolina,Sanford,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.4627017010651,11.49985835974979,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
252,Central Carolina Technical College,South Carolina,Sumter,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.4627017010651,11.49985835974979,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
253,Central Christian College of Kansas,Kansas,McPherson,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.4627017010651,11.49985835974979,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
254,Central College,Iowa,Pella,False,True,3.607,0.495,65.1,485,490,975,610,625,1235,1110,76,65,52,39,39,18,17,19,26,24,25,22,76,65,52,39,39,73.971,0.594,1235,1105,975,845,25,22,19,16,Required,Required,Recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
255,Central Community College,Nebraska,Grand Island,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73.971,0.594,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
256,Central Connecticut State University,Connecticut,New Britain,False,True,3.093,0.5680000000000001,65.6,490,480,970,590,570,1160,1070,77,66,53,40,40,16,16,17,23,24,23,20,77,66,53,40,40,61.065,0.577,1160,1065,970,875,23,20,17,14,Required,Required,Required,Required,Required,Neither required nor recommended,Yes,Yes,Yes
257,Central Georgia Technical College,Georgia,Macon,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.065,0.577,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
258,Central Lakes College-Brainerd,Minnesota,Brainerd,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.065,0.577,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
259,Central Maine Community College,Maine,Auburn,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.065,0.577,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
260,Central Methodist University-College of Liberal Arts and Sciences,Missouri,Fayette,False,True,3.426,0.595,93.2,465,465,930,555,545,1100,1020,96,93,89,82,82,17,17,19,24,24,25,22,96,93,89,82,82,66.673,0.47200000000000003,1100,1015,930,845,25,22,19,16,Required,Required,Recommended,Recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
261,Central Michigan University,Michigan,Mount Pleasant,False,True,3.362,0.498,69.5,500,490,990,610,590,1200,1100,80,70,58,45,45,19,18,20,25,26,26,23,80,70,58,45,45,65.387,0.538,1200,1095,990,885,26,23,20,17,Required,Required,Required,Required,Recommended,Neither required nor recommended,Yes,Yes,Yes
262,Central New Mexico Community College,New Mexico,Albuquerque,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.387,0.538,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
263,Central Ohio Technical College,Ohio,Newark,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.387,0.538,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
264,Central Oregon Community College,Oregon,Bend,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.387,0.538,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
265,Central Piedmont Community College,North Carolina,Charlotte,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.387,0.538,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
266,Central State University,Ohio,Wilberforce,False,True,2.799,0.504,56.8,390,370,760,450,410,860,810,69,57,44,31,31,15,14,14,16,18,17,15,73,57,48,40,40,62.26481316818957,12.406151804686521,860,810,760,710,17,15,14,13,Considered but not required,Required,Recommended,Recommended,Recommended,Recommended,Yes,Yes,No
267,Central Texas College,Texas,Killeen,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.26481316818957,12.406151804686521,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
268,Central Virginia Community College,Virginia,Lynchburg,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.26481316818957,12.406151804686521,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
269,Central Washington University,Washington,Ellensburg,False,True,3.231,0.591,84.9,470,480,950,580,590,1170,1060,91,85,77,66,66,15,16,17,23,24,24,20,91,85,78,70,70,64.39489838594255,12.069875408687814,1170,1060,950,840,24,20,17,14,Required,Required,Neither required nor recommended,Considered but not required,Recommended,Recommended,Yes,Yes,No
270,Central Wyoming College,Wyoming,Riverton,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.39489838594255,12.069875408687814,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
271,Centralia College,Washington,Centralia,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.39489838594255,12.069875408687814,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
272,Centre College,Kentucky,Danville,False,True,3.66,0.518,76.4,570,560,1130,650,730,1380,1260,84,76,65,52,52,26,25,26,34,30,32,29,84,76,65,52,52,83.771,0.456,1380,1255,1130,1005,32,29,26,23,Required,Recommended,Recommended,Required,Required,Neither required nor recommended,Yes,No,No
273,Centura College-Chesapeake,Virginia,Chesapeake,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83.771,0.456,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
274,Centura College-Newport News,Virginia,Newport News,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83.771,0.456,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
